data,campanha,sub_id,categoria,status,orcamento_dia,gasto_sem_imposto,gasto_com_imposto,comissao_bruta,comissao_liquida,pedidos,diretos,cliques,impressoes,cpc,com_instagram,com_whatsapp,com_outros
2026-04-26,"Publicação do Instagram: ✨Comente ""HIDRATANTE"" para receber o link",hidratante40,Beleza,Ativa,40,43.44,49.45,94.37,88.71,42,12,362,9881,0.12,80.37,9.54,4.46
2026-04-26,"Publicação do Instagram: ✨Comente ""PINCEIS"" para receber o link",kitpinceis25,Beleza,Pausada,25,22.45,25.55,14.72,13.84,6,2,204,5579,0.11,12.31,1.72,0.69
2026-04-26,"Publicação do Instagram: ✨Comente ""ORGANIZADOR"" para receber o link",organizador50,Casa e Decoração,Ativa,50,48.88,55.64,159.9,150.31,78,20,815,23476,0.06,133.17,18.36,8.37
2026-04-26,"Publicação do Instagram: ✨Comente ""TAPETE"" para receber o link",tapetesala60,Casa e Decoração,Ativa,60,55.07,62.69,146.86,138.05,74,21,612,19655,0.09,127.43,11.4,8.03
2026-04-27,"Publicação do Instagram: ✨Comente ""BODY"" para receber o link",bodybebe45,Mãe e Bebê,Ativa,45,44.53,50.69,115.01,108.11,57,19,636,16523,0.07,95.71,13.09,6.21
2026-04-27,"Publicação do Instagram: ✨Comente ""GARRAFA"" para receber o link",garrafaterm30,Casa e Decoração,Ativa,30,29.27,33.32,46.7,43.9,21,5,225,5673,0.13,39.13,4.99,2.58
2026-04-27,"Publicação do Instagram: ✨Comente ""HIDRATANTE"" para receber o link",hidratante40,Beleza,Ativa,40,36.81,41.9,50.48,47.45,23,6,368,10377,0.1,43.11,5.09,2.28
2026-04-27,"Publicação do Instagram: ✨Comente ""PINCEIS"" para receber o link",kitpinceis25,Beleza,Pausada,25,25.3,28.8,17.67,16.61,8,2,230,5151,0.11,14.72,1.94,1.01
2026-04-27,"Publicação do Instagram: ✨Comente ""LEGGING"" para receber o link",leggingfit35,Roupas Femininas,Ativa,35,31.31,35.64,90.13,84.72,37,9,313,9903,0.1,76.98,8.41,4.74
2026-04-27,"Publicação do Instagram: ✨Comente ""ORGANIZADOR"" para receber o link",organizador50,Casa e Decoração,Ativa,50,48.96,55.73,132.03,124.11,65,18,544,13882,0.09,113.3,12.79,5.94
2026-04-27,"Publicação do Instagram: ✨Comente ""TAPETE"" para receber o link",tapetesala60,Casa e Decoração,Ativa,60,57.17,65.08,191.48,179.99,95,31,817,24687,0.07,166.92,16.71,7.85
2026-04-28,"Publicação do Instagram: ✨Comente ""BODY"" para receber o link",bodybebe45,Mãe e Bebê,Ativa,45,40.55,46.16,52.05,48.93,34,9,507,14047,0.08,44.09,4.89,3.07
2026-04-28,"Publicação do Instagram: ✨Comente ""GARRAFA"" para receber o link",garrafaterm30,Casa e Decoração,Ativa,30,28.01,31.88,37.12,34.89,11,3,187,4598,0.15,31.22,3.41,2.49
2026-04-28,"Publicação do Instagram: ✨Comente ""HIDRATANTE"" para receber o link",hidratante40,Beleza,Ativa,40,38.6,43.94,50.84,47.79,21,6,351,9731,0.11,42.09,6.08,2.67
2026-04-28,"Publicação do Instagram: ✨Comente ""PINCEIS"" para receber o link",kitpinceis25,Beleza,Pausada,25,24.15,27.49,21.86,20.55,11,3,268,7277,0.09,18.76,1.85,1.25
2026-04-28,"Publicação do Instagram: ✨Comente ""LEGGING"" para receber o link",leggingfit35,Roupas Femininas,Ativa,35,32.07,36.51,78.12,73.43,34,10,458,14005,0.07,67.4,6.38,4.34
2026-04-28,"Publicação do Instagram: ✨Comente ""ORGANIZADOR"" para receber o link",organizador50,Casa e Decoração,Ativa,50,45.17,51.42,117.52,110.47,68,20,411,12125,0.11,98.35,13.02,6.15
2026-04-28,"Publicação do Instagram: ✨Comente ""TAPETE"" para receber o link",tapetesala60,Casa e Decoração,Ativa,60,58.05,66.08,135.89,127.74,60,18,1161,35063,0.05,116.44,12.83,6.62
2026-04-29,"Publicação do Instagram: ✨Comente ""BODY"" para receber o link",bodybebe45,Mãe e Bebê,Ativa,45,46.65,53.1,121.33,114.05,77,26,778,20155,0.06,106.3,10.02,5.01
2026-04-29,"Publicação do Instagram: ✨Comente ""GARRAFA"" para receber o link",garrafaterm30,Casa e Decoração,Ativa,30,29.81,33.93,36.79,34.58,15,4,229,6457,0.13,31.9,3.12,1.77
2026-04-29,"Publicação do Instagram: ✨Comente ""HIDRATANTE"" para receber o link",hidratante40,Beleza,Ativa,40,39.27,44.7,76.74,72.14,33,11,393,10331,0.1,65.58,7.75,3.41
2026-04-29,"Publicação do Instagram: ✨Comente ""PINCEIS"" para receber o link",kitpinceis25,Beleza,Pausada,25,23.46,26.7,24.33,22.87,12,4,156,4650,0.15,20.83,2.33,1.17
2026-04-29,"Publicação do Instagram: ✨Comente ""LEGGING"" para receber o link",leggingfit35,Roupas Femininas,Ativa,35,28.81,32.79,36.45,34.26,13,4,192,4338,0.15,31.13,3.68,1.64
2026-04-29,"Publicação do Instagram: ✨Comente ""ORGANIZADOR"" para receber o link",organizador50,Casa e Decoração,Ativa,50,46.62,53.07,116.05,109.09,58,14,518,14715,0.09,99.91,11.3,4.84
2026-04-29,"Publicação do Instagram: ✨Comente ""TAPETE"" para receber o link",tapetesala60,Casa e Decoração,Ativa,60,53.88,61.33,113.33,106.53,55,13,674,18382,0.08,94.05,14.3,4.98
2026-04-30,"Publicação do Instagram: ✨Comente ""BODY"" para receber o link",bodybebe45,Mãe e Bebê,Ativa,45,42.19,48.02,67.59,63.53,32,8,703,17696,0.06,56.1,6.05,5.44
2026-04-30,"Publicação do Instagram: ✨Comente ""GARRAFA"" para receber o link",garrafaterm30,Casa e Decoração,Ativa,30,28.56,32.51,33.93,31.89,13,5,357,8252,0.08,28.35,3.37,2.21
2026-04-30,"Publicação do Instagram: ✨Comente ""HIDRATANTE"" para receber o link",hidratante40,Beleza,Ativa,40,34.82,39.64,45.1,42.39,20,6,290,8224,0.12,38.19,3.96,2.95
2026-04-30,"Publicação do Instagram: ✨Comente ""PINCEIS"" para receber o link",kitpinceis25,Beleza,Pausada,25,22.35,25.44,29.12,27.37,15,4,149,4370,0.15,24.82,2.86,1.44
2026-04-30,"Publicação do Instagram: ✨Comente ""LEGGING"" para receber o link",leggingfit35,Roupas Femininas,Ativa,35,34.19,38.92,23.76,22.33,10,3,342,8464,0.1,20.02,2.14,1.6
2026-04-30,"Publicação do Instagram: ✨Comente ""ORGANIZADOR"" para receber o link",organizador50,Casa e Decoração,Ativa,50,51.46,58.58,125.12,117.61,69,20,1029,26761,0.05,108.51,11.61,5.0
2026-04-30,"Publicação do Instagram: ✨Comente ""TAPETE"" para receber o link",tapetesala60,Casa e Decoração,Ativa,60,59.96,68.25,163.56,153.75,74,20,600,16064,0.1,139.55,18.58,5.43
2026-05-01,"Publicação do Instagram: ✨Comente ""BODY"" para receber o link",bodybebe45,Mãe e Bebê,Ativa,45,44.01,50.1,105.16,98.85,55,17,880,20992,0.05,89.69,10.97,4.5
2026-05-01,"Publicação do Instagram: ✨Comente ""GARRAFA"" para receber o link",garrafaterm30,Casa e Decoração,Ativa,30,28.03,31.91,12.85,12.08,4,1,255,7545,0.11,10.56,1.6,0.69
2026-05-01,"Publicação do Instagram: ✨Comente ""HIDRATANTE"" para receber o link",hidratante40,Beleza,Ativa,40,36.7,41.78,50.32,47.3,23,6,262,8274,0.14,41.92,6.17,2.23
2026-05-01,"Publicação do Instagram: ✨Comente ""PINCEIS"" para receber o link",kitpinceis25,Beleza,Pausada,25,26.21,29.83,28.35,26.65,12,4,202,6160,0.13,24.51,2.51,1.33
2026-05-01,"Publicação do Instagram: ✨Comente ""LEGGING"" para receber o link",leggingfit35,Roupas Femininas,Ativa,35,34.58,39.36,54.34,51.08,23,7,247,6085,0.14,46.43,5.51,2.4
2026-05-01,"Publicação do Instagram: ✨Comente ""ORGANIZADOR"" para receber o link",organizador50,Casa e Decoração,Ativa,50,45.49,51.78,117.83,110.76,65,15,569,14050,0.08,96.11,14.35,7.37
2026-05-01,"Publicação do Instagram: ✨Comente ""TAPETE"" para receber o link",tapetesala60,Casa e Decoração,Ativa,60,55.91,63.64,129.84,122.05,61,19,799,23577,0.07,113.26,10.42,6.16
2026-05-02,"Publicação do Instagram: ✨Comente ""BODY"" para receber o link",bodybebe45,Mãe e Bebê,Ativa,45,45.07,51.3,88.3,83.0,47,16,563,16826,0.08,76.17,7.74,4.39
2026-05-02,"Publicação do Instagram: ✨Comente ""GARRAFA"" para receber o link",garrafaterm30,Casa e Decoração,Ativa,30,30.16,34.33,31.88,29.97,11,4,215,5832,0.14,27.65,2.82,1.41
2026-05-02,"Publicação do Instagram: ✨Comente ""HIDRATANTE"" para receber o link",hidratante40,Beleza,Ativa,40,41.37,47.09,73.47,69.06,35,10,517,11746,0.08,63.9,5.7,3.87
2026-05-02,"Publicação do Instagram: ✨Comente ""PINCEIS"" para receber o link",kitpinceis25,Beleza,Pausada,25,24.55,27.95,24.5,23.03,11,3,205,6626,0.12,20.8,2.49,1.21
2026-05-02,"Publicação do Instagram: ✨Comente ""LEGGING"" para receber o link",leggingfit35,Roupas Femininas,Ativa,35,35.12,39.98,60.72,57.08,29,8,293,7829,0.12,50.4,6.51,3.81
2026-05-02,"Publicação do Instagram: ✨Comente ""ORGANIZADOR"" para receber o link",organizador50,Casa e Decoração,Ativa,50,50.46,57.44,91.86,86.35,56,14,459,11999,0.11,78.73,7.87,5.26
2026-05-02,"Publicação do Instagram: ✨Comente ""TAPETE"" para receber o link",tapetesala60,Casa e Decoração,Ativa,60,66.0,75.13,164.66,154.78,76,24,733,17563,0.09,138.63,17.15,8.88
2026-05-02,"Publicação do Instagram: ✨Comente ""TENIS"" para receber o link",tenisinfantil15,Moda Infantil,Pausada,15,11.28,12.84,6.57,6.18,3,1,94,2938,0.12,5.57,0.73,0.27
2026-05-03,"Publicação do Instagram: ✨Comente ""BODY"" para receber o link",bodybebe45,Mãe e Bebê,Ativa,45,48.43,55.13,142.67,134.11,73,22,692,15843,0.07,123.39,13.53,5.75
2026-05-03,"Publicação do Instagram: ✨Comente ""GARRAFA"" para receber o link",garrafaterm30,Casa e Decoração,Ativa,30,33.0,37.56,73.86,69.43,31,8,275,6594,0.12,62.62,8.32,2.92
2026-05-03,"Publicação do Instagram: ✨Comente ""HIDRATANTE"" para receber o link",hidratante40,Beleza,Ativa,40,33.99,38.69,48.28,45.38,24,6,309,8551,0.11,40.52,4.67,3.09
2026-05-03,"Publicação do Instagram: ✨Comente ""PINCEIS"" para receber o link",kitpinceis25,Beleza,Pausada,25,27.5,31.3,24.31,22.85,10,4,250,5831,0.11,20.7,2.11,1.5
2026-05-03,"Publicação do Instagram: ✨Comente ""LEGGING"" para receber o link",leggingfit35,Roupas Femininas,Ativa,35,35.66,40.59,58.51,55.0,24,7,446,13450,0.08,49.46,5.69,3.36
2026-05-03,"Publicação do Instagram: ✨Comente ""ORGANIZADOR"" para receber o link",organizador50,Casa e Decoração,Ativa,50,55.0,62.61,104.89,98.6,50,16,611,17228,0.09,85.88,14.63,4.38
2026-05-03,"Publicação do Instagram: ✨Comente ""TAPETE"" para receber o link",tapetesala60,Casa e Decoração,Ativa,60,60.28,68.62,156.81,147.4,77,20,603,19800,0.1,133.86,16.76,6.19
2026-05-03,"Publicação do Instagram: ✨Comente ""TENIS"" para receber o link",tenisinfantil15,Moda Infantil,Pausada,15,12.89,14.67,4.95,4.65,2,1,92,2639,0.14,4.17,0.55,0.23
2026-05-04,"Publicação do Instagram: ✨Comente ""BODY"" para receber o link",bodybebe45,Mãe e Bebê,Ativa,45,44.59,50.76,82.81,77.84,43,12,557,15413,0.08,71.03,7.68,4.1
2026-05-04,"Publicação do Instagram: ✨Comente ""GARRAFA"" para receber o link",garrafaterm30,Casa e Decoração,Ativa,30,26.95,30.68,25.63,24.09,9,2,207,5323,0.13,21.4,3.02,1.21
2026-05-04,"Publicação do Instagram: ✨Comente ""HIDRATANTE"" para receber o link",hidratante40,Beleza,Ativa,40,35.98,40.96,49.05,46.11,24,6,277,8072,0.13,42.48,4.76,1.81
2026-05-04,"Publicação do Instagram: ✨Comente ""PINCEIS"" para receber o link",kitpinceis25,Beleza,Pausada,25,26.57,30.24,30.98,29.12,14,5,443,10842,0.06,26.3,3.33,1.35
2026-05-04,"Publicação do Instagram: ✨Comente ""LEGGING"" para receber o link",leggingfit35,Roupas Femininas,Ativa,35,33.27,37.87,65.43,61.5,29,9,238,5545,0.14,56.35,4.91,4.17
2026-05-04,"Publicação do Instagram: ✨Comente ""ORGANIZADOR"" para receber o link",organizador50,Casa e Decoração,Ativa,50,44.93,51.14,51.17,48.1,26,7,749,21343,0.06,43.26,5.8,2.11
2026-05-04,"Publicação do Instagram: ✨Comente ""TAPETE"" para receber o link",tapetesala60,Casa e Decoração,Ativa,60,62.79,71.47,168.47,158.36,72,21,698,18864,0.09,142.55,16.4,9.52
2026-05-04,"Publicação do Instagram: ✨Comente ""TENIS"" para receber o link",tenisinfantil15,Moda Infantil,Pausada,15,12.32,14.02,4.37,4.11,2,1,82,2553,0.15,3.79,0.34,0.24
2026-05-05,"Publicação do Instagram: ✨Comente ""BODY"" para receber o link",bodybebe45,Mãe e Bebê,Ativa,45,41.82,47.6,75.56,71.03,40,13,697,18987,0.06,65.53,6.46,3.57
2026-05-05,"Publicação do Instagram: ✨Comente ""GARRAFA"" para receber o link",garrafaterm30,Casa e Decoração,Ativa,30,30.22,34.4,52.89,49.72,20,5,432,12813,0.07,43.54,6.09,3.26
2026-05-05,"Publicação do Instagram: ✨Comente ""HIDRATANTE"" para receber o link",hidratante40,Beleza,Ativa,40,37.75,42.97,122.29,114.95,50,15,378,8989,0.1,104.8,11.58,5.91
2026-05-05,"Publicação do Instagram: ✨Comente ""PINCEIS"" para receber o link",kitpinceis25,Beleza,Pausada,25,24.86,28.3,31.81,29.9,15,4,207,5489,0.12,26.84,3.57,1.4
2026-05-05,"Publicação do Instagram: ✨Comente ""LEGGING"" para receber o link",leggingfit35,Roupas Femininas,Ativa,35,33.59,38.24,80.55,75.72,35,11,305,8803,0.11,68.18,7.6,4.77
2026-05-05,"Publicação do Instagram: ✨Comente ""ORGANIZADOR"" para receber o link",organizador50,Casa e Decoração,Ativa,50,41.88,47.67,89.45,84.08,47,15,524,13239,0.08,76.54,8.85,4.06
2026-05-05,"Publicação do Instagram: ✨Comente ""TAPETE"" para receber o link",tapetesala60,Casa e Decoração,Ativa,60,57.56,65.52,191.67,180.17,101,27,822,26732,0.07,165.8,17.22,8.65
2026-05-05,"Publicação do Instagram: ✨Comente ""TENIS"" para receber o link",tenisinfantil15,Moda Infantil,Pausada,15,14.16,16.12,7.14,6.71,3,1,129,3663,0.11,6.11,0.75,0.28
2026-05-06,"Publicação do Instagram: ✨Comente ""BODY"" para receber o link",bodybebe45,Mãe e Bebê,Ativa,45,44.77,50.96,55.14,51.83,33,9,895,28772,0.05,47.64,5.14,2.36
2026-05-06,"Publicação do Instagram: ✨Comente ""GARRAFA"" para receber o link",garrafaterm30,Casa e Decoração,Ativa,30,29.91,34.05,39.27,36.91,16,5,230,5967,0.13,33.03,4.13,2.11
2026-05-06,"Publicação do Instagram: ✨Comente ""HIDRATANTE"" para receber o link",hidratante40,Beleza,Ativa,40,41.25,46.95,85.49,80.36,40,13,412,11940,0.1,74.09,7.64,3.76
2026-05-06,"Publicação do Instagram: ✨Comente ""PINCEIS"" para receber o link",kitpinceis25,Beleza,Pausada,25,19.84,22.58,20.85,19.6,9,2,165,3756,0.12,18.11,2.01,0.73
2026-05-06,"Publicação do Instagram: ✨Comente ""LEGGING"" para receber o link",leggingfit35,Roupas Femininas,Ativa,35,35.78,40.73,70.02,65.82,29,7,325,10798,0.11,61.34,5.54,3.14
2026-05-06,"Publicação do Instagram: ✨Comente ""ORGANIZADOR"" para receber o link",organizador50,Casa e Decoração,Ativa,50,49.13,55.92,100.55,94.52,55,17,614,16853,0.08,87.05,8.96,4.54
2026-05-06,"Publicação do Instagram: ✨Comente ""TAPETE"" para receber o link",tapetesala60,Casa e Decoração,Ativa,60,59.95,68.24,115.43,108.5,61,17,545,17490,0.11,97.68,10.25,7.5
2026-05-06,"Publicação do Instagram: ✨Comente ""TENIS"" para receber o link",tenisinfantil15,Moda Infantil,Pausada,15,13.67,15.56,5.61,5.27,2,1,85,2090,0.16,4.78,0.54,0.29
2026-05-07,"Publicação do Instagram: ✨Comente ""BODY"" para receber o link",bodybebe45,Mãe e Bebê,Ativa,45,40.84,46.49,69.19,65.04,39,10,1361,43942,0.03,58.14,8.26,2.79
2026-05-07,"Publicação do Instagram: ✨Comente ""GARRAFA"" para receber o link",garrafaterm30,Casa e Decoração,Ativa,30,29.55,33.64,42.74,40.18,14,5,269,6735,0.11,36.47,4.01,2.26
2026-05-07,"Publicação do Instagram: ✨Comente ""HIDRATANTE"" para receber o link",hidratante40,Beleza,Ativa,40,36.39,41.42,108.59,102.07,49,17,331,7386,0.11,93.12,10.29,5.18
2026-05-07,"Publicação do Instagram: ✨Comente ""PINCEIS"" para receber o link",kitpinceis25,Beleza,Pausada,25,22.35,25.44,6.01,5.65,3,1,203,5182,0.11,5.06,0.66,0.29
2026-05-07,"Publicação do Instagram: ✨Comente ""LEGGING"" para receber o link",leggingfit35,Roupas Femininas,Ativa,35,33.75,38.42,69.23,65.08,31,8,422,10742,0.08,59.17,6.74,3.32
2026-05-07,"Publicação do Instagram: ✨Comente ""ORGANIZADOR"" para receber o link",organizador50,Casa e Decoração,Ativa,50,48.34,55.03,108.2,101.71,57,19,604,15389,0.08,89.89,12.86,5.45
2026-05-07,"Publicação do Instagram: ✨Comente ""TAPETE"" para receber o link",tapetesala60,Casa e Decoração,Ativa,60,60.63,69.02,165.1,155.19,65,18,758,24463,0.08,140.16,16.94,8.0
2026-05-07,"Publicação do Instagram: ✨Comente ""TENIS"" para receber o link",tenisinfantil15,Moda Infantil,Pausada,15,15.21,17.31,12.02,11.3,5,2,101,3113,0.15,10.19,1.15,0.68
2026-05-08,"Publicação do Instagram: ✨Comente ""BODY"" para receber o link",bodybebe45,Mãe e Bebê,Ativa,45,44.56,50.72,83.65,78.63,51,14,743,21917,0.06,72.54,8.16,2.95
2026-05-08,"Publicação do Instagram: ✨Comente ""GARRAFA"" para receber o link",garrafaterm30,Casa e Decoração,Ativa,30,27.31,31.09,36.59,34.39,13,4,341,7610,0.08,31.45,3.43,1.71
2026-05-08,"Publicação do Instagram: ✨Comente ""HIDRATANTE"" para receber o link",hidratante40,Beleza,Ativa,40,43.06,49.02,63.16,59.37,27,9,269,6041,0.16,54.25,6.22,2.69
2026-05-08,"Publicação do Instagram: ✨Comente ""PINCEIS"" para receber o link",kitpinceis25,Beleza,Pausada,25,24.47,27.85,18.35,17.25,8,2,188,4559,0.13,15.68,1.88,0.79
2026-05-08,"Publicação do Instagram: ✨Comente ""LEGGING"" para receber o link",leggingfit35,Roupas Femininas,Ativa,35,33.54,38.18,78.39,73.69,34,9,305,8486,0.11,66.67,8.26,3.46
2026-05-08,"Publicação do Instagram: ✨Comente ""ORGANIZADOR"" para receber o link",organizador50,Casa e Decoração,Ativa,50,36.63,41.7,55.78,52.43,31,7,611,19369,0.06,45.51,7.6,2.67
2026-05-08,"Publicação do Instagram: ✨Comente ""TAPETE"" para receber o link",tapetesala60,Casa e Decoração,Ativa,60,50.68,57.69,131.34,123.46,81,24,634,15479,0.08,109.0,15.76,6.58
2026-05-08,"Publicação do Instagram: ✨Comente ""TENIS"" para receber o link",tenisinfantil15,Moda Infantil,Pausada,15,13.79,15.7,10.02,9.42,4,1,92,2577,0.15,8.33,1.09,0.6
2026-05-09,"Publicação do Instagram: ✨Comente ""BODY"" para receber o link",bodybebe45,Mãe e Bebê,Ativa,45,41.31,47.02,87.83,82.56,58,18,689,21933,0.06,72.69,10.61,4.53
2026-05-09,"Publicação do Instagram: ✨Comente ""GARRAFA"" para receber o link",garrafaterm30,Casa e Decoração,Ativa,30,33.0,37.56,38.22,35.93,15,5,550,14907,0.06,33.74,2.97,1.51
2026-05-09,"Publicação do Instagram: ✨Comente ""HIDRATANTE"" para receber o link",hidratante40,Beleza,Ativa,40,36.71,41.79,65.14,61.23,25,7,459,13767,0.08,55.38,6.5,3.26
2026-05-09,"Publicação do Instagram: ✨Comente ""PINCEIS"" para receber o link",kitpinceis25,Beleza,Pausada,25,26.96,30.69,30.18,28.37,11,3,337,8162,0.08,25.36,2.84,1.98
2026-05-09,"Publicação do Instagram: ✨Comente ""LEGGING"" para receber o link",leggingfit35,Roupas Femininas,Ativa,35,33.37,37.99,62.83,59.06,26,7,303,7202,0.11,53.63,6.17,3.03
2026-05-09,"Publicação do Instagram: ✨Comente ""ORGANIZADOR"" para receber o link",organizador50,Casa e Decoração,Ativa,50,50.8,57.83,122.36,115.02,49,13,508,13570,0.1,106.17,10.73,5.46
2026-05-09,"Publicação do Instagram: ✨Comente ""TAPETE"" para receber o link",tapetesala60,Casa e Decoração,Ativa,60,54.67,62.23,128.48,120.77,60,15,683,17012,0.08,107.31,13.4,7.77
2026-05-09,"Publicação do Instagram: ✨Comente ""TENIS"" para receber o link",tenisinfantil15,Moda Infantil,Pausada,15,15.71,17.88,10.05,9.45,5,1,112,3568,0.14,8.49,1.06,0.5
2026-05-10,"Publicação do Instagram: ✨Comente ""BODY"" para receber o link",bodybebe45,Mãe e Bebê,Ativa,45,43.5,49.52,88.83,83.5,48,16,725,16571,0.06,75.87,8.89,4.07
2026-05-10,"Publicação do Instagram: ✨Comente ""GARRAFA"" para receber o link",garrafaterm30,Casa e Decoração,Ativa,30,28.1,31.99,57.33,53.89,23,6,255,7783,0.11,49.78,4.64,2.91
2026-05-10,"Publicação do Instagram: ✨Comente ""HIDRATANTE"" para receber o link",hidratante40,Beleza,Ativa,40,43.85,49.91,106.21,99.84,45,14,438,14187,0.1,92.26,9.58,4.37
2026-05-10,"Publicação do Instagram: ✨Comente ""PINCEIS"" para receber o link",kitpinceis25,Beleza,Pausada,25,27.35,31.13,20.96,19.7,9,2,137,3581,0.2,17.57,2.34,1.05
2026-05-10,"Publicação do Instagram: ✨Comente ""LEGGING"" para receber o link",leggingfit35,Roupas Femininas,Ativa,35,37.29,42.45,83.53,78.52,36,9,339,8123,0.11,70.1,8.33,5.1
2026-05-10,"Publicação do Instagram: ✨Comente ""ORGANIZADOR"" para receber o link",organizador50,Casa e Decoração,Ativa,50,46.64,53.09,90.9,85.45,42,11,583,15841,0.08,76.11,8.48,6.31
2026-05-10,"Publicação do Instagram: ✨Comente ""TAPETE"" para receber o link",tapetesala60,Casa e Decoração,Ativa,60,58.66,66.77,93.33,87.73,49,17,652,15584,0.09,81.04,7.26,5.03
2026-05-10,"Publicação do Instagram: ✨Comente ""TENIS"" para receber o link",tenisinfantil15,Moda Infantil,Pausada,15,16.21,18.45,8.55,8.04,4,1,108,2400,0.15,7.45,0.71,0.39
2026-05-11,"Publicação do Instagram: ✨Comente ""BODY"" para receber o link",bodybebe45,Mãe e Bebê,Ativa,45,48.83,55.58,106.62,100.22,62,18,698,16172,0.07,89.58,10.19,6.85
2026-05-11,"Publicação do Instagram: ✨Comente ""GARRAFA"" para receber o link",garrafaterm30,Casa e Decoração,Ativa,30,29.43,33.5,34.15,32.1,15,4,294,6864,0.1,29.94,3.0,1.21
2026-05-11,"Publicação do Instagram: ✨Comente ""HIDRATANTE"" para receber o link",hidratante40,Beleza,Ativa,40,44.0,50.09,69.23,65.08,31,9,440,13575,0.1,59.31,6.69,3.23
2026-05-11,"Publicação do Instagram: ✨Comente ""PINCEIS"" para receber o link",kitpinceis25,Beleza,Pausada,25,21.74,24.75,14.88,13.99,6,2,145,4052,0.15,12.58,1.55,0.75
2026-05-11,"Publicação do Instagram: ✨Comente ""LEGGING"" para receber o link",leggingfit35,Roupas Femininas,Ativa,35,30.19,34.37,50.16,47.15,23,6,274,6398,0.11,42.43,5.33,2.4
2026-05-11,"Publicação do Instagram: ✨Comente ""ORGANIZADOR"" para receber o link",organizador50,Casa e Decoração,Ativa,50,49.18,55.98,100.77,94.72,55,16,703,18899,0.07,84.95,11.1,4.72
2026-05-11,"Publicação do Instagram: ✨Comente ""TAPETE"" para receber o link",tapetesala60,Casa e Decoração,Ativa,60,56.93,64.8,138.27,129.97,65,16,633,15140,0.09,117.27,12.59,8.41
2026-05-11,"Publicação do Instagram: ✨Comente ""TENIS"" para receber o link",tenisinfantil15,Moda Infantil,Pausada,15,15.13,17.22,12.88,12.11,5,1,95,2150,0.16,10.82,1.33,0.73
2026-05-12,"Publicação do Instagram: ✨Comente ""BODY"" para receber o link",bodybebe45,Mãe e Bebê,Ativa,45,44.88,51.09,86.16,80.99,45,13,561,17932,0.08,74.62,7.72,3.82
2026-05-12,"Publicação do Instagram: ✨Comente ""GARRAFA"" para receber o link",garrafaterm30,Casa e Decoração,Ativa,30,28.89,32.89,39.7,37.32,13,3,263,6600,0.11,33.59,4.15,1.96
